Word,Typical Age (Months),Learning Strategy
mama,10,Point to mom frequently and say 'mama' with enthusiasm. Encourage mom to respond excitedly when baby says it.
dada,10,Point to dad and say 'dada.' Have dad get excited and respond when baby attempts the word.
no,10,Shake your head while saying 'no' in a gentle but clear voice. Use during daily limits and boundaries.
bye,11,Wave your hand while saying 'bye' when leaving or when others leave. Make it a fun ritual.
hi,11,Wave and say 'hi' when greeting people. Encourage baby to wave back and attempt the sound.
ball,11,Roll a ball back and forth while saying 'ball.' Let baby hold it and repeat the word enthusiastically.
dog,11,Point to dogs in books or on walks. Make barking sounds and say 'dog' excitedly.
cat,11,Show pictures of cats and make meowing sounds. Say 'cat' when you see one in books or outside.
more,11,Use during meals and snacks. Sign and say 'more' when offering additional food baby enjoys.
eat,11,Say 'eat' before meals and snacks. Pretend to eat and make yummy sounds to make it fun.
milk,11,Say 'milk' before every feeding. Show the bottle or cup and repeat the word clearly.
up,11,Say 'up' while lifting baby. Raise your arms up high to demonstrate the motion.
down,12,Say 'down' when lowering baby or setting them down. Point downward to reinforce the concept.
baby,12,Point to baby in mirror and say 'baby.' Also point to babies in books and photos.
book,12,Hold up books and say 'book' before reading together. Let baby touch and explore books.
shoe,12,Hold up shoes and say 'shoe' when getting dressed. Let baby help put shoes on.
hat,12,Put hats on baby's head and say 'hat.' Try on different hats and make it playful.
car,12,Push toy cars while saying 'car.' Point to cars outside and make 'vroom' sounds.
bye-bye,12,Wave both hands while saying 'bye-bye.' Use when leaving or ending activities.
night-night,12,Say 'night-night' during bedtime routine. Associate with tucking in and going to sleep.
uh-oh,12,Say 'uh-oh' when something drops or falls. Use a surprised expression to make it engaging.
yes,12,Nod your head while saying 'yes' enthusiastically. Use when agreeing or approving.
go,13,Say 'go' when starting to move or walk. Use during play like rolling balls or toy cars.
apple,13,Cut up apple slices. Let baby see and touch while you say 'apple' clearly.
banana,13,Peel a banana and say 'banana.' Let baby help peel and taste it.
cookie,13,Show cookie before giving it. Say 'cookie' and wait for baby to attempt the word.
water,13,Hold up water cup and say 'water' before offering drinks. Point to water in different places.
juice,13,Show juice container and say 'juice.' Pour it into cup while repeating the word.
bath,13,Say 'bath' before bath time. Splash water and make it an exciting word to learn.
bed,13,Pat the bed and say 'bed' during nap and bedtime routines.
bear,13,Show teddy bears and say 'bear.' Make it cuddly and fun. Read books about bears.
bird,13,Point to birds outside and say 'bird.' Make chirping sounds to engage baby.
